gene	log2FC	p	padj	n
ENSG00000188015	2.73555371688366	1.11087687122349e-18	2.00235556038035e-14	8
ENSG00000117600	7.86826479413283	2.68991468188377e-18	2.42428560704774e-14	8
ENSG00000116678	2.77312689467889	2.32424354771278e-14	1.39648299825076e-10	8
ENSG00000196782	1.4167210074343	6.37687278979651e-14	2.87357830090205e-10	8
ENSG00000137033	-3.89438843921565	2.58836055134495e-13	9.33103978759854e-10	8
ENSG00000162981	3.51419438493704	1.72723593376319e-12	4.49094241025114e-09	8
ENSG00000146555	3.0944300536083	1.89632178488428e-12	4.49094241025114e-09	8
ENSG00000086696	5.51736178051246	1.99320606280217e-12	4.49094241025114e-09	8
ENSG00000118849	-4.11546688323317	2.35073204549673e-12	4.70799390223096e-09	8
ENSG00000139209	2.84718486550337	3.72460604125555e-12	6.71360238936313e-09	8
ENSG00000204634	2.11107752427103	1.68828991843514e-11	2.76649325270849e-08	8
ENSG00000154734	2.8817677479325	4.7766944375982e-11	7.17499310314229e-08	8
ENSG00000244280	4.78171129871498	7.02582422355663e-11	9.74157550996987e-08	8
ENSG00000116191	-0.779209650137286	8.64814162262941e-11	1.11344823391354e-07	8
ENSG00000117425	2.63817073095105	2.60932579377223e-10	3.13553982884963e-07	8
ENSG00000025423	-2.98560245806768	2.82510914108465e-10	3.18266201675318e-07	8
ENSG00000119946	2.835760491418	3.70231206178804e-10	3.92553970080761e-07	8
ENSG00000101773	-0.809315709300575	4.38153877779017e-10	4.38762424831488e-07	8
ENSG00000196154	3.65085379068556	5.24996660638704e-10	4.7979636655985e-07	8
ENSG00000151090	1.62811505251326	5.55401174538509e-10	4.7979636655985e-07	8
ENSG00000148219	2.18236270506816	5.5898605812798e-10	4.7979636655985e-07	8
ENSG00000106266	1.12481450969668	6.45566556273499e-10	5.28924417128628e-07	8
ENSG00000203805	-3.4883013968882	9.13599790586758e-10	6.93204806203271e-07	8
ENSG00000119514	-5.31854370735849	9.22991142794925e-10	6.93204806203271e-07	8
ENSG00000168487	0.826154602686323	9.98068760382516e-10	7.19607576235794e-07	8
ENSG00000123095	-3.07571992652496	1.14000740490817e-09	7.90332056671911e-07	8
ENSG00000175040	2.59493547086195	2.40993096076827e-09	1.60885205806845e-06	8
ENSG00000027001	1.33124239277594	3.72785477149864e-09	2.39980650915225e-06	8
ENSG00000105855	1.47286457022081	4.18151260059757e-09	2.5990263664059e-06	8
ENSG00000057294	-5.37065358598544	5.20091747979985e-09	3.12488458577974e-06	8
ENSG00000275793	2.55020086313014	6.24204431859928e-09	3.62944673686297e-06	8
ENSG00000204403	6.70752089692465	8.44666707772746e-09	4.75784918987617e-06	8
ENSG00000136002	-4.51085777719808	9.26098562364922e-09	5.0584626020084e-06	8
ENSG00000128536	2.45252485331114	1.27850251203459e-08	6.77794346453631e-06	8
ENSG00000106483	-4.92319256694196	1.3612133669528e-08	7.01024883980693e-06	8
ENSG00000155011	7.23001243600739	1.73040806150356e-08	8.66405703016714e-06	8
ENSG00000154736	2.36882720596151	2.06624410823722e-08	1.00659594732367e-05	8
ENSG00000070961	1.04418177235946	2.13905942466933e-08	1.01464595078065e-05	8
ENSG00000165626	-2.28156996642234	3.3181809841391e-08	1.53359518561814e-05	8
ENSG00000112893	1.08444473301005	3.98289888907611e-08	1.79479381188992e-05	8
ENSG00000239779	0.808431924822291	4.58656280271857e-08	2.01640962241469e-05	8
ENSG00000154153	3.38402937694059	5.47741842271441e-08	2.35072540641493e-05	8
ENSG00000175229	-3.90425699382186	5.61318282322594e-08	2.35296791601506e-05	8
ENSG00000162433	-4.83881261445278	7.25906258695412e-08	2.97374098022382e-05	8
ENSG00000143061	3.04921429448259	7.73347144425602e-08	3.09768495072699e-05	8
ENSG00000134369	-1.33783858020991	7.9991362199748e-08	3.13444413837056e-05	8
ENSG00000076770	1.97990570372537	9.54610338634214e-08	3.59678252644082e-05	8
ENSG00000167641	-2.96773867016212	9.65699317722822e-08	3.59678252644082e-05	8
ENSG00000257335	-4.02413469756774	9.77766123692651e-08	3.59678252644082e-05	8
ENSG00000183454	4.99968088567598	1.08088622956135e-07	3.84308261454408e-05	8
ENSG00000117597	-0.866774461867459	1.08736318081414e-07	3.84308261454408e-05	8
ENSG00000110693	3.62302955183239	1.27608480072734e-07	4.42335164098274e-05	8
ENSG00000117020	-0.998254583000849	1.37108825842276e-07	4.63348129986805e-05	8
ENSG00000185920	2.12564857382851	1.38811645044591e-07	4.63348129986805e-05	8
ENSG00000251442	2.2734010724518	1.47065859109417e-07	4.78960112943461e-05	8
ENSG00000184678	1.56427304183595	1.49020525013733e-07	4.78960112943461e-05	8
ENSG00000137124	-2.20483333881324	1.51460340847585e-07	4.78960112943461e-05	8
ENSG00000135424	-2.07781351015199	1.58383015757515e-07	4.92216182591243e-05	8
ENSG00000232855	2.89743447606796	1.785127445505e-07	5.45371562800469e-05	8
ENSG00000116675	3.60980264008303	1.83875525650811e-07	5.52392724975979e-05	8
ENSG00000169174	4.83751364226895	1.9290397326223e-07	5.62656163664813e-05	8
ENSG00000111305	3.55657290037842	1.93534991108008e-07	5.62656163664813e-05	8
ENSG00000169129	2.22324487717105	2.03654159667522e-07	5.75113648295975e-05	8
ENSG00000116133	1.71351465620181	2.04201239894271e-07	5.75113648295975e-05	8
ENSG00000147408	-4.29508020739972	2.5385514853249e-07	7.03959854199712e-05	8
ENSG00000164687	2.91629824267383	2.79366792580134e-07	7.62967641857108e-05	8
ENSG00000135643	2.00185164397082	2.95584918297779e-07	7.95211664524995e-05	8
ENSG00000079257	-2.6659570279359	3.30790221845186e-07	8.7683731599404e-05	8
ENSG00000116183	-5.2807367456002	3.43489637328435e-07	8.97304451136961e-05	8
ENSG00000125864	1.89977642933878	3.69523229520367e-07	9.51522316014945e-05	8
ENSG00000156804	-1.6663655722099	4.17812107469881e-07	0.00010607131319922	8
ENSG00000092421	4.16834846219075	4.51984607044734e-07	0.000113153090860852	8
ENSG00000123342	0.853246030160219	6.67374365121588e-07	0.000164786615497488	8
ENSG00000198768	-3.1028841766983	6.88411570429559e-07	0.000167684034553957	8
ENSG00000197943	3.02374590319971	7.17973038231547e-07	0.000172552853521648	8
ENSG00000183578	-4.44492859717848	7.67572033893791e-07	0.000180125452776372	8
ENSG00000081087	-0.703595820654336	7.69467953607805e-07	0.000180125452776372	8
ENSG00000141668	4.87985430853146	8.2949667132589e-07	0.000190498465715985	8
ENSG00000066629	2.20101307700862	8.34916992597107e-07	0.000190498465715985	8
ENSG00000117594	-1.9136543667401	8.70111789407255e-07	0.000196047062550822	8
ENSG00000102760	3.30225099602478	8.99829785267021e-07	0.000200239899746149	8
ENSG00000214100	5.09859629408529	9.24366496701912e-07	0.000203191537842097	8
ENSG00000270629	-1.71896171768132	1.04304897499049e-06	0.000226517563544622	8
ENSG00000118515	-2.3917277554112	1.07122660662978e-06	0.000228674176455715	8
ENSG00000137675	4.51769693612212	1.07835256581058e-06	0.000228674176455715	8
ENSG00000132821	-3.07309636813156	1.21288694790272e-06	0.000254212642278449	8
ENSG00000127328	-1.73785930278877	1.23007592459862e-06	0.000254851937251612	8
ENSG00000106366	-2.32290024439145	1.25539711588509e-06	0.00025714242061169	8
ENSG00000066468	-4.99278277138685	1.3190043015243e-06	0.000265223312693137	8
ENSG00000137266	-2.35556174143144	1.32427728945256e-06	0.000265223312693137	8
ENSG00000116396	-1.81226080914509	1.34312840606549e-06	0.000266042741970665	8
ENSG00000276550	1.09045912889702	1.43326534022054e-06	0.0002808109538856	8
ENSG00000134250	-1.3430611436284	1.48883711182917e-06	0.000288562246674416	8
ENSG00000168528	1.17663418341463	1.52817915966955e-06	0.000293036482479188	8
ENSG00000178031	-4.50347377418738	1.58661784605048e-06	0.000297970288358883	8
ENSG00000122862	-1.83845218916124	1.59193153802364e-06	0.000297970288358883	8
ENSG00000197956	0.89014816992701	1.60350169047499e-06	0.000297970288358883	8
ENSG00000170571	-5.6801684644244	1.89128788987584e-06	0.00034786187974502	8
ENSG00000188921	0.942926677908578	1.92431272446213e-06	0.000350360978367978	8
ENSG00000226953	3.6309877729919	1.97630640659563e-06	0.000356229229788862	8
ENSG00000113361	-3.94192811065339	2.06105528633964e-06	0.000367826945903684	8
ENSG00000107295	6.00046178734776	2.22558631123165e-06	0.000393296012352456	8
ENSG00000113319	1.60317359371171	2.28312171216302e-06	0.000399546299628529	8
ENSG00000173926	-2.86599765530375	2.3724417965687e-06	0.000411185224837989	8
ENSG00000144218	1.90121147281608	2.46898270102169e-06	0.000423842030342057	8
ENSG00000183780	4.14288432006097	2.50708777594201e-06	0.000426323180767497	8
ENSG00000111052	3.14706787876803	2.55252628854626e-06	0.00042999333038361	8
ENSG00000163644	0.802239146656997	2.63294721329315e-06	0.000439434014070455	8
ENSG00000154864	-4.47725153656792	2.68941023793273e-06	0.000444739628795757	8
ENSG00000008394	-1.66967602264138	2.78126187843847e-06	0.000455747685080485	8
ENSG00000113580	-0.876594553236685	2.96800368815029e-06	0.00047892947314263	8
ENSG00000169299	-0.999980314499807	2.994210429365e-06	0.00047892947314263	8
ENSG00000137486	1.21104437960373	3.00244274425061e-06	0.00047892947314263	8
ENSG00000110651	0.668443351284417	3.13064255301438e-06	0.000494998526474422	8
ENSG00000134317	3.17104526383185	3.18547385422522e-06	0.000499288401933996	8
ENSG00000112367	-0.697586941591546	3.23727895947936e-06	0.00050303407969496	8
ENSG00000111907	-3.77419695537879	3.27103031977701e-06	0.000503934371914364	8
ENSG00000106333	1.45921826620695	3.32180960753268e-06	0.000507420493015056	8
ENSG00000162552	-3.6235388376321	3.507505867685e-06	0.000529453175262106	8
ENSG00000175115	-1.16684510879899	3.52479229023316e-06	0.000529453175262106	8
ENSG00000131791	-0.76322705473274	3.7521605774726e-06	0.000558947887677221	8
ENSG00000163531	-3.82846039624943	4.54604224457639e-06	0.000662228750773969	8
ENSG00000113248	1.68059007657374	4.54613242297131e-06	0.000662228750773969	8
ENSG00000164574	-1.87884760127351	4.55569293181538e-06	0.000662228750773969	8
ENSG00000070371	-1.88154879142876	4.65319745610597e-06	0.000668816189767919	8
ENSG00000143924	-0.609293287391192	4.67521996730972e-06	0.000668816189767919	8
ENSG00000165633	1.380661694999	4.83694297839314e-06	0.000686503127445167	8
ENSG00000144724	1.2264934134613	5.49821588846046e-06	0.000770488321016634	8
ENSG00000137474	2.78731575571547	5.51417439174179e-06	0.000770488321016634	8
ENSG00000141052	-2.82720312921493	6.25081900302365e-06	0.00086670009638078	8
ENSG00000074410	-2.27803849475992	6.32515937114163e-06	0.000870312959273495	8
ENSG00000106772	-3.05606253562365	7.11624566786859e-06	0.000969471735346088	8
ENSG00000142583	-4.22656154710448	7.15338367828181e-06	0.000969471735346088	8
ENSG00000167642	-2.73519944947539	7.31727982764423e-06	0.000979447229541224	8
ENSG00000136630	1.78142721952844	7.33566579684134e-06	0.000979447229541224	8
ENSG00000091490	-3.7705526805292	7.55846082848093e-06	0.00100177394436301	8
ENSG00000267530	3.3860760741119	7.91413058643261e-06	0.00103526868165627	8
ENSG00000130164	1.48761810364802	7.92605148785383e-06	0.00103526868165627	8
ENSG00000259977	2.02260207639639	8.50585824658949e-06	0.00110300787694083	8
ENSG00000249421	6.02574538615329	8.78400040431717e-06	0.00113094005205584	8
ENSG00000124126	2.81990404790228	8.93434285651553e-06	0.0011421385105581	8
ENSG00000183346	3.46870786800165	1.03334086115539e-05	0.00131168795931873	8
ENSG00000125378	2.52682359402348	1.05089350969407e-05	0.00131843090582055	8
ENSG00000261934	1.08266762874832	1.05792064373199e-05	0.00131843090582055	8
ENSG00000029534	3.15419159395837	1.06059629039656e-05	0.00131843090582055	8
ENSG00000099337	-1.43750979151146	1.08623049388255e-05	0.00134104826385158	8
ENSG00000175264	2.92899948095161	1.0949554705271e-05	0.001342623969813	8
ENSG00000161544	1.52735154588814	1.10836837132132e-05	0.00134988783061263	8
ENSG00000142694	0.962430888740132	1.12818309325574e-05	0.00136070888152988	8
ENSG00000197461	-1.97742981274425	1.13400139917109e-05	0.00136070888152988	8
ENSG00000167034	-2.29797690562763	1.13990036677399e-05	0.00136070888152988	8
ENSG00000144619	3.62294650360085	1.16522127695947e-05	0.00138084606792498	8
ENSG00000165795	-2.19460571039671	1.17209125321787e-05	0.00138084606792498	8
ENSG00000012171	1.77196940383906	1.27123517806083e-05	0.00148792299250302	8
ENSG00000133401	2.25538080478844	1.28638963152493e-05	0.00149594665214431	8
ENSG00000131979	-2.39904405616657	1.31722171009469e-05	0.00152198213618313	8
ENSG00000196739	1.5979569533261	1.35305299761374e-05	0.00155342549566801	8
ENSG00000198948	-3.07486138039237	1.4204188566858e-05	0.00162044619568111	8
ENSG00000170743	5.07300329557079	1.43597360754228e-05	0.00162788831924212	8
ENSG00000073060	1.61318460001536	1.47115798137706e-05	0.0016573514133951	8
ENSG00000166741	-1.99961235906717	1.49452260718346e-05	0.00167321552760757	8
ENSG00000105963	-2.95924437505886	1.63574713001625e-05	0.00182002111225573	8
ENSG00000134198	-3.70174398813923	1.6820612370813e-05	0.00186007078517733	8
ENSG00000215018	3.01473982371241	1.72118894573045e-05	0.00189173358212143	8
ENSG00000136052	-1.63829535687498	1.73611230922907e-05	0.00189657117417297	8
ENSG00000111057	-1.749948035426	1.76098847278729e-05	0.00191215766397535	8
ENSG00000152270	2.55564250486369	1.81630709458266e-05	0.00196041529220673	8
ENSG00000170962	2.57406214545937	1.86750360449176e-05	0.00200367574231928	8
ENSG00000168621	-3.63586028292796	1.88506987556767e-05	0.00201055529627854	8
ENSG00000204291	-2.77452591014234	1.90641361727456e-05	0.00202135914419846	8
ENSG00000183087	-1.77821632387918	2.04423158238305e-05	0.00214587837615632	8
ENSG00000151773	-1.41688249344328	2.04766202884264e-05	0.00214587837615632	8
ENSG00000147041	1.97344835616332	2.1730900884422e-05	0.00226415889272663	8
ENSG00000016391	2.42210214084917	2.19589054413639e-05	0.00227062682140374	8
ENSG00000121743	2.27168766202703	2.21394119267145e-05	0.00227062682140374	8
ENSG00000235505	3.14719084857216	2.2170891570988e-05	0.00227062682140374	8
ENSG00000165757	-1.75155830463342	2.30657388809878e-05	0.00234892623350173	8
ENSG00000124493	2.99042880101249	2.40589015812302e-05	0.00243227776328788	8
ENSG00000143847	-2.41793624617306	2.41541037241903e-05	0.00243227776328788	8
ENSG00000218052	2.74331383730053	2.4319513881732e-05	0.00243532909843455	8
ENSG00000023171	-1.39138470951005	2.48051080702961e-05	0.00247023244733197	8
ENSG00000011105	0.86384327394328	2.54584884601958e-05	0.00252136953019247	8
ENSG00000214140	2.07681126340515	2.58994709952991e-05	0.00253237969593979	8
ENSG00000279117	1.35028393424725	2.59602538240131e-05	0.00253237969593979	8
ENSG00000143507	1.8548873228867	2.59911369624888e-05	0.00253237969593979	8
ENSG00000120254	-1.00651989063341	2.63637709150927e-05	0.00255487618679864	8
ENSG00000172348	1.21194748992148	2.67541081695869e-05	0.00257883850137328	8
ENSG00000139915	4.65941274482979	2.71648905925427e-05	0.00260450613260948	8
ENSG00000128591	-1.10507448231939	2.73753600021103e-05	0.00261079822242348	8
ENSG00000103489	-1.18566178856169	2.75997743421071e-05	0.00261834701324464	8
ENSG00000138757	-0.480821426511415	3.01859268430468e-05	0.00284869806987392	8
ENSG00000126562	-1.88347796188154	3.03553524496396e-05	0.00284976681200393	8
ENSG00000170873	-2.49566440431216	3.21280249783133e-05	0.00300055777323366	8
ENSG00000130226	5.89582598996685	3.33302908213371e-05	0.00309679635079691	8
ENSG00000141448	-3.04125469610224	3.55935874449522e-05	0.00329012519843724	8
ENSG00000006016	-4.15624214357596	3.58982782599214e-05	0.00330135951854634	8
ENSG00000118257	-1.56748853657452	3.6093034603225e-05	0.00330242105950827	8
ENSG00000157600	1.14276448941885	3.6676035510556e-05	0.00333881585897865	8
ENSG00000196932	3.61342181067973	3.71424960747387e-05	0.00336428890325208	8
ENSG00000014257	4.09896254691206	3.75349577440757e-05	0.00338283806668482	8
ENSG00000057704	3.4867997314241	3.89162662179703e-05	0.00348987909740754	8
ENSG00000133216	-1.96663736567218	4.06497615036719e-05	0.00362728688665191	8
ENSG00000170323	3.44148869356481	4.16531958994253e-05	0.00369851653244897	8
ENSG00000162878	-2.82693903397016	4.26827032808563e-05	0.00375839607402879	8
ENSG00000142910	-1.89528185043896	4.28668321690257e-05	0.00375839607402879	8
ENSG00000240990	0.856634119431654	4.29530979889004e-05	0.00375839607402879	8
ENSG00000186480	1.3992006624959	4.44304816303069e-05	0.00386888614196272	8
ENSG00000254810	-3.7866077611941	4.52502457023619e-05	0.00392132537877439	8
ENSG00000136167	3.84877391305341	4.58073596255755e-05	0.00395061080024401	8
ENSG00000061676	-0.485405688826461	4.79115912432116e-05	0.00411241158170899	8
ENSG00000140470	3.53773792360338	4.83092984979133e-05	0.00412689623424117	8
ENSG00000169184	-4.99518427897392	4.88649688979703e-05	0.00415467483200903	8
ENSG00000120708	-1.99090214326181	4.92253269215357e-05	0.00416566440263231	8
ENSG00000005059	-1.66292019244274	5.05194170328817e-05	0.00425519856083034	8
ENSG00000166833	-1.00195155581063	5.12624276850109e-05	0.0042935897937486	8
ENSG00000171522	2.47562076931405	5.14516169458917e-05	0.0042935897937486	8
ENSG00000005073	0.86130667700452	5.21361166939831e-05	0.00433066130603247	8
ENSG00000135698	1.29293347009496	5.3980223057956e-05	0.0044632730303654	8
ENSG00000086289	-1.13812912444139	5.44422610523888e-05	0.00448092125785072	8
