gene	log2FC	p	padj	n
ENSG00000175928.6	3.9823248606836	2.36067808298842e-07	0.00375857824507089	8
ENSG00000107317.13	4.695066417382	3.64857374661058e-07	0.00375857824507089	8
ENSG00000082556.14	7.414318235624	2.9196322211111e-06	0.0152777569492073	8
ENSG00000203837.5	5.07932416017998	2.9661227877896e-06	0.0152777569492073	8
ENSG00000177494.6	-7.38469070955573	4.28029091742906e-06	0.0176373667543582	8
ENSG00000198732.11	5.12623000937712	1.03140907372214e-05	0.0354168685764955	8
ENSG00000168280.17	1.85788918111068	1.6734545982767e-05	0.0456668291996427	8
ENSG00000277778.2	-5.05195776910518	1.77321086054042e-05	0.0456668291996427	8
ENSG00000178222.13	3.04315180227072	2.53768652703156e-05	0.0510300395679167	8
ENSG00000184905.9	6.38696109931132	2.63747736479022e-05	0.0510300395679167	8
ENSG00000254585.5	2.49356958992531	2.94677565214565e-05	0.0510300395679167	8
ENSG00000071909.19	3.22251145213266	3.10382225950966e-05	0.0510300395679167	8
ENSG00000173705.9	-1.27468895785424	3.59819501334605e-05	0.0510300395679167	8
ENSG00000138675.16	-4.01730457574846	3.65688283254248e-05	0.0510300395679167	8
ENSG00000120875.9	-1.79982807363761	3.71523852603384e-05	0.0510300395679167	8
ENSG00000105467.9	5.21062997912934	4.16659679462361e-05	0.0536527460997689	8
ENSG00000171877.21	-2.37266065815475	5.89300145913976e-05	0.0714197112133274	8
ENSG00000135373.13	5.68857611855798	6.77159510459768e-05	0.0740121526016692	8
ENSG00000239559.2	1.94406883090791	7.2670649412309e-05	0.0740121526016692	8
ENSG00000179750.16	3.98198774516182	7.32786530635002e-05	0.0740121526016692	8
ENSG00000158106.14	1.17790048852553	7.54382956188445e-05	0.0740121526016692	8
ENSG00000187193.9	3.02799164667635	8.72543622240678e-05	0.0757261169136803	8
ENSG00000148600.15	-4.8804529798664	9.05791033113647e-05	0.0757261169136803	8
ENSG00000065923.10	-1.50962490223271	9.12067355209096e-05	0.0757261169136803	8
ENSG00000003147.19	1.51494319458775	9.18872456847065e-05	0.0757261169136803	8
ENSG00000120093.11	-4.28399698424646	0.000103810410001212	0.0793970966341051	8
