gene	log2FC	p	padj	n
1472_at	-0.606938759255953	4.1783459034429e-09	7.15583519423631e-05	31
90806_at	0.582915499184525	1.04608216383399e-08	8.95760156891041e-05	31
9879_at	1.150856359	2.53058894415335e-08	9.06935356370831e-05	31
29990_at	1.46024914465476	2.57803619126051e-08	9.06935356370831e-05	31
54517_at	1.467345296625	2.6478318240419e-08	9.06935356370831e-05	31
3632_at	0.573871458250001	3.58143636372105e-08	9.29279637142269e-05	31
22828_at	0.684171433410715	5.04434420810142e-08	9.29279637142269e-05	31
55770_at	0.636398610880953	5.86357599815421e-08	9.29279637142269e-05	31
7175_at	1.15448068910119	6.10240661897913e-08	9.29279637142269e-05	31
9218_at	1.4042379555	6.27837884881576e-08	9.29279637142269e-05	31
84450_at	0.713614968815477	6.37696802758604e-08	9.29279637142269e-05	31
1106_at	0.633701461851191	6.51136029762188e-08	9.29279637142269e-05	31
7109_at	0.985820214077382	7.59665371066726e-08	0.000100077147268375	31
5530_at	0.621992667261906	9.3049337533051e-08	0.000102442014825347	31
440026_at	1.05840006047024	9.56800497249202e-08	0.000102442014825347	31
55112_at	0.984271496255953	1.06450854820672e-07	0.000102442014825347	31
23054_at	1.1147432864881	1.06787730506665e-07	0.000102442014825347	31
80817_at	0.883589107392858	1.07669991057821e-07	0.000102442014825347	31
54778_at	0.624341719345238	1.2879900292096e-07	0.000111108884632402	31
23592_at	0.706275306089287	1.34631569644448e-07	0.000111108884632402	31
81573_at	1.115028173625	1.37456934559917e-07	0.000111108884632402	31
9584_at	0.507208619517858	1.45013239848568e-07	0.000111108884632402	31
220988_at	0.708385367309524	1.49217817735913e-07	0.000111108884632402	31
55601_at	1.00221721854167	1.63713089669666e-07	0.000116445895611806	31
3184_at	0.507481079392857	1.75784298434686e-07	0.000116445895611806	31
79187_at	-0.519968337672619	1.90806300458921e-07	0.000116445895611806	31
54861_at	0.73122187454762	1.95847349769683e-07	0.000116445895611806	31
135112_at	0.706586653345239	2.00575276512031e-07	0.000116445895611806	31
4659_at	0.760851687220239	2.13715924721263e-07	0.000116445895611806	31
22889_at	0.677658315095239	2.1993884753473e-07	0.000116445895611806	31
80012_at	0.61051449754762	2.20278392886829e-07	0.000116445895611806	31
8899_at	1.25268215670238	2.26393302171227e-07	0.000116445895611806	31
57337_at	0.793694037916667	2.30682947619113e-07	0.000116445895611806	31
256471_at	0.756182784392858	2.33980522706481e-07	0.000116445895611806	31
9867_at	0.585777367017858	2.39367193629606e-07	0.000116445895611806	31
23395_at	0.951674426839286	2.50594237991424e-07	0.000116445895611806	31
5636_at	0.647311432458334	2.66357752712136e-07	0.000116445895611806	31
63916_at	0.627049484803572	2.78800132837949e-07	0.000116445895611806	31
11051_at	0.576267650880952	2.80002580840834e-07	0.000116445895611806	31
8027_at	0.727272302517858	2.90061622888446e-07	0.000116445895611806	31
27316_at	0.834955082761906	3.07370788814545e-07	0.000116445895611806	31
57498_at	0.773796488380953	3.10292447266208e-07	0.000116445895611806	31
23131_at	0.83849021	3.20820496985273e-07	0.000116445895611806	31
54841_at	0.650501255011906	3.23271881158625e-07	0.000116445895611806	31
4928_at	0.811426848892858	3.23564223964449e-07	0.000116445895611806	31
10346_at	0.71395517029762	3.24272462566364e-07	0.000116445895611806	31
6431_at	0.754564394035716	3.26842103385448e-07	0.000116445895611806	31
9794_at	0.520334125404761	3.35323785796951e-07	0.000116445895611806	31
55832_at	0.756907670779763	3.45459674135739e-07	0.000116445895611806	31
7706_at	0.748695581011906	3.4997063882437e-07	0.000116445895611806	31
79993_at	1.53793724158929	3.53430096277192e-07	0.000116445895611806	31
2647_at	-1.0416377867381	3.53566890798431e-07	0.000116445895611806	31
10743_at	1.15794148530952	3.84597813006582e-07	0.000124275889538693	31
51306_at	0.53641384139881	4.10279539128636e-07	0.000126224604983474	31
55835_at	1.07809047543453	4.19151427324256e-07	0.000126224604983474	31
55636_at	0.797523250869049	4.22180648549325e-07	0.000126224604983474	31
11073_at	0.816862985261905	4.26608400014157e-07	0.000126224604983474	31
120_at	0.511453388809524	4.27480269125395e-07	0.000126224604983474	31
51529_at	-0.849483232678572	4.59379640319851e-07	0.00013120943835473	31
55421_at	0.722376789619048	4.67244937087982e-07	0.00013120943835473	31
9972_at	0.634157740845239	4.67346475513168e-07	0.00013120943835473	31
79612_at	1.13876415807738	4.79077321162182e-07	0.000132333519390702	31
55763_at	0.563660292375	5.23753470349999e-07	0.000142377808463715	31
8732_at	0.961784502500001	5.53708467038787e-07	0.000144411176154785	31
158427_at	0.735766998827382	5.56685662018393e-07	0.000144411176154785	31
55568_at	0.854820149583334	5.77718474774464e-07	0.000144411176154785	31
7520_at	0.625394429720239	5.79969599740105e-07	0.000144411176154785	31
8106_at	0.390154895291667	5.86047828386232e-07	0.000144411176154785	31
10664_at	0.664933600797619	5.90180229740803e-07	0.000144411176154785	31
8228_at	0.716324188017858	6.0673898290225e-07	0.000144411176154785	31
142_at	0.551263714720239	6.08264939803714e-07	0.000144411176154785	31
3551_at	0.91610140754762	6.14895714945512e-07	0.000144411176154785	31
56980_at	1.03411762180952	6.15556222077504e-07	0.000144411176154785	31
6942_at	0.723062759410715	6.65834395217344e-07	0.000148366966572845	31
23345_at	0.893612966261906	6.66352191174221e-07	0.000148366966572845	31
29102_at	0.639949245744048	6.66743201393956e-07	0.000148366966572845	31
81611_at	0.540126235250001	6.71058149360674e-07	0.000148366966572845	31
10181_at	0.743594251035715	6.75734169840123e-07	0.000148366966572845	31
170506_at	0.716754322321429	6.98510521060494e-07	0.000151426470679519	31
22920_at	0.590394305994048	7.23319423346321e-07	0.000153345177266268	31
8473_at	0.642906183410715	7.25269143907961e-07	0.000153345177266268	31
