logFC	AveExpr	t	P.Value	adj.P.Val	B
A_23_P350574	-993.5378864375	651.14201603125	-35.8927050432496	1.36926165093357e-08	0.000467287923614098	0.357859382230498
A_23_P410507	63.1252039325	72.89596835875	25.5254898852614	1.18313394580231e-07	0.00201884060841977	0.292322848887284
A_23_P36724	228.828376875	156.7639428125	21.5835262380873	3.40507072005838e-07	0.00376079199727397	0.240746335885314
A_23_P345887	197.824438275	220.1014884375	20.7152664523431	4.40799601169042e-07	0.00376079199727397	0.225475269665689
A_23_P425750	-509.154906425	581.6150717875	-16.5643158040639	1.78853458163854e-06	0.00850600010188223	0.119024198815977
A_23_P383278	-253.29599535	265.273252325	-16.5591560185974	1.79201435502893e-06	0.00850600010188223	0.118844328355968
A_23_P19333	2159.59519705	1317.282250225	16.3112807844554	1.96876659609012e-06	0.00850600010188223	0.110018347957237
A_32_P196021	500.735631345	339.9125592025	15.7447979494509	2.45378649111438e-06	0.00850600010188223	0.0884019216762324
A_33_P3299285	-120.55572293	79.865016935	-15.4846393319335	2.72187954256289e-06	0.00850600010188223	0.0777445616085153
A_33_P3423820	-787.161691250001	2228.850516125	-15.3294734385764	2.89782710838277e-06	0.00850600010188223	0.0711528340700944
A_23_P214587	-211.96195405	432.092478925	-15.0944314602595	3.18995148834879e-06	0.00850600010188223	0.0608157907010494
A_23_P431319	2748.66246425	5242.717537875	15.0489074024357	3.25038237945331e-06	0.00850600010188223	0.0587629674331733
A_23_P29655	-729.03430375	623.613464375	-14.935070953315	3.40736195132786e-06	0.00850600010188223	0.0535554887778691
A_33_P3211739	6057.3092855	11046.58158475	14.8779355421074	3.48943655833654e-06	0.00850600010188223	0.0509011598362612
A_23_P4144	1128.237192	3009.20993975	14.5320289807825	4.03789150627424e-06	0.00861204022626617	0.0342270813638157
A_24_P653603	-5537.852978	10138.844266	-14.4066760987444	4.26072966720935e-06	0.00861204022626617	0.0279175309888142
A_24_P673786	-534.7939825	615.23129	-14.3436571873555	4.37809477290626e-06	0.00861204022626617	0.0246895323471188
A_23_P122624	-717.1697203	1270.06835585	-14.1134099794468	4.8397577070053e-06	0.00861204022626617	0.0125662530076678
A_23_P101742	-1056.0193685	1946.6750345	-14.069051376393	4.93501777849503e-06	0.00861204022626617	0.0101695558731079
A_24_P198844	-686.36710395	1005.615088025	-13.9759975259312	5.14196090892074e-06	0.00861204022626617	0.00507580323182211
A_23_P56249	-3684.487638	7507.63625025	-13.9080462984374	5.29940647439241e-06	0.00861204022626617	0.00129869242496561
A_23_P113825	-1323.8725917	1109.6433449	-13.532850674898	6.27561279038018e-06	0.00891134175982727	-0.0204699597753697
A_33_P3419165	-148.766137725	208.7407475875	-13.4919670989284	6.39400422896956e-06	0.00891134175982727	-0.022939264246495
A_23_P103476	-155.540911925	387.1367609125	-13.4126781498157	6.63102436343658e-06	0.00891134175982727	-0.0277849658642824
A_33_P3344277	-89.695926925	74.7705197125	-13.3884745411987	6.7053825586529e-06	0.00891134175982727	-0.0292792638891006
A_33_P3314166	51.8465886225	41.43325475125	13.3615613345702	6.78919582018663e-06	0.00891134175982727	-0.0309492378390681
A_23_P49768	-2053.658892	4259.336278	-13.0531720012094	7.84104769634366e-06	0.00974140067056813	-0.0507351302490315
A_33_P3257027	3671.39108025	3559.822012125	13.0127243964377	7.99247571646812e-06	0.00974140067056813	-0.0534218190723967
A_33_P3363260	1128.600633225	1019.0370331375	12.7922945509117	8.87938505850821e-06	0.0100970028365684	-0.0684557517967637
A_23_P376799	-698.41016475	2794.888823875	-12.7575594194562	9.02924751857963e-06	0.0100970028365684	-0.0708867908616613
A_23_P256375	-1705.504888	5155.63455775	-12.7251222715927	9.17183133394737e-06	0.0100970028365684	-0.0731726271543085
A_23_P145357	-356.216433575	764.6339980375	-12.6089293619993	9.70429521616353e-06	0.0103493275888129	-0.081486585614166
