gene	log2FC	p	padj	n
A_23_P350574	-993.5378864375	1.36926165093355e-08	0.000467287923614093	8
A_23_P410507	63.1252039325	1.18313394580232e-07	0.00201884060841978	8
A_23_P36724	228.828376875	3.4050707200584e-07	0.00376079199727392	8
A_23_P345887	197.824438275	4.40799601169035e-07	0.00376079199727392	8
A_23_P425750	-509.154906425	1.78853458163854e-06	0.00850600010188218	8
A_23_P383278	-253.29599535	1.79201435502891e-06	0.00850600010188218	8
A_23_P19333	2159.59519705	1.96876659609012e-06	0.00850600010188218	8
A_32_P196021	500.735631345	2.45378649111438e-06	0.00850600010188218	8
A_33_P3299285	-120.55572293	2.72187954256289e-06	0.00850600010188218	8
A_33_P3423820	-787.16169125	2.89782710838293e-06	0.00850600010188218	8
A_23_P214587	-211.96195405	3.18995148834878e-06	0.00850600010188218	8
A_23_P431319	2748.66246425	3.25038237945332e-06	0.00850600010188218	8
A_23_P29655	-729.03430375	3.40736195132786e-06	0.00850600010188218	8
A_33_P3211739	6057.3092855	3.48943655833652e-06	0.00850600010188218	8
A_23_P4144	1128.237192	4.03789150627428e-06	0.00861204022626626	8
A_24_P653603	-5537.852978	4.26072966720934e-06	0.00861204022626626	8
A_24_P673786	-534.7939825	4.37809477290626e-06	0.00861204022626626	8
A_23_P122624	-717.1697203	4.83975770700529e-06	0.00861204022626626	8
A_23_P101742	-1056.0193685	4.93501777849502e-06	0.00861204022626626	8
A_24_P198844	-686.36710395	5.14196090892075e-06	0.00861204022626626	8
A_23_P56249	-3684.487638	5.29940647439246e-06	0.00861204022626626	8
A_23_P113825	-1323.8725917	6.27561279038017e-06	0.00891134175982729	8
A_33_P3419165	-148.766137725	6.3940042289695e-06	0.00891134175982729	8
A_23_P103476	-155.540911925	6.6310243634366e-06	0.00891134175982729	8
A_33_P3344277	-89.695926925	6.70538255865291e-06	0.00891134175982729	8
A_33_P3314166	51.8465886225	6.78919582018664e-06	0.00891134175982729	8
A_23_P49768	-2053.658892	7.84104769634365e-06	0.00974140067056815	8
A_33_P3257027	3671.39108025	7.99247571646814e-06	0.00974140067056815	8
A_33_P3363260	1128.600633225	8.8793850585082e-06	0.0100970028365684	8
A_23_P376799	-698.41016475	9.02924751857968e-06	0.0100970028365684	8
A_23_P256375	-1705.504888	9.1718313339473e-06	0.0100970028365684	8
A_23_P145357	-356.216433575	9.70429521616354e-06	0.0103493275888129	8
A_33_P3219601	-235.419638825	1.10650105912971e-05	0.0114428974681575	8
A_23_P219144	-7478.74364249999	1.14717201358056e-05	0.0115145703845482	8
A_23_P57667	-1357.89778875	1.29216597985132e-05	0.0124829686542239	8
A_23_P148484	-321.693409125	1.31680742975375e-05	0.0124829686542239	8
A_33_P3261565	124.594373775	1.37699509197963e-05	0.0127007328389159	8
A_33_P3209391	45.66157660125	1.49643663185301e-05	0.0130208301083608	8
A_23_P16652	291.909680325	1.56440738917693e-05	0.0130208301083608	8
A_23_P254353	423.88327175	1.57402468931808e-05	0.0130208301083608	8
A_33_P3285260	-612.711696875	1.57728664897381e-05	0.0130208301083608	8
A_33_P3345354	1008.0559105	1.6269573702619e-05	0.0130208301083608	8
A_24_P59607	-461.69816675	1.66816109647522e-05	0.0130208301083608	8
A_33_P3262452	-196.4459	1.67877787314407e-05	0.0130208301083608	8
A_23_P58280	-4383.40569	1.74389727193611e-05	0.0131708307671577	8
A_24_P286935	251.7915844	1.77530464233379e-05	0.0131708307671577	8
A_23_P29638	332.358015875	1.89373497971577e-05	0.0137070979398852	8
A_23_P74467	440.42982095	1.94351151361517e-05	0.0137070979398852	8
A_33_P3315190	-72.43908725	1.96808333300429e-05	0.0137070979398852	8
A_23_P20823	-1625.82312	2.01085837652473e-05	0.0137249127631319	8
A_23_P207600	-1054.526024	2.1479194583378e-05	0.0143729504617047	8
A_33_P3283196	-434.547565825	2.25367698094216e-05	0.0147906219862717	8
A_33_P3400758	181.660207425	2.48650870893892e-05	0.0159903881228199	8
A_24_P172481	-576.736825275	2.53019884148116e-05	0.0159903881228199	8
A_32_P205553	-2464.22195525	2.70913460845092e-05	0.0168099339604736	8
A_23_P146187	-1423.7628801	2.77256697865851e-05	0.0168963202286927	8
A_33_P3220643	-1441.381003	2.82230231589602e-05	0.0168976686201024	8
A_23_P97700	27880.8017875	2.94402146389786e-05	0.0169518158916818	8
A_23_P210210	20911.1518775	2.99238979829865e-05	0.0169518158916818	8
A_23_P434944	-508.1079253	3.00383198233708e-05	0.0169518158916818	8
A_23_P94932	-2214.89223325	3.0300371242494e-05	0.0169518158916818	8
A_33_P3406449	145.611553125	3.22722703917748e-05	0.017718398812296	8
A_23_P48713	104.512199275	3.37491679919858e-05	0.017718398812296	8
A_33_P3288023	334.600118775	3.44754182574012e-05	0.017718398812296	8
