	logFC	AveExpr	t	P.Value	adj.P.Val	B
219073_s_at	-0.940565000000001	8.1692225	-6.78806677102773	7.05324897883965e-05	0.999986929681082	-2.90493543010789
213802_at	-0.861450000000002	7.877965	-6.61671577582705	8.61024474584151e-05	0.999986929681082	-2.92521550375874
203200_s_at	-0.541040000000001	9.625045	-6.42933156029249	0.000107529296405273	0.999986929681082	-2.94872237030932
213975_s_at	1.269185	5.19411	6.40285467454367	0.000110998271515551	0.999986929681082	-2.95216138938403
204320_at	-1.1461775	7.82974875	-5.95574186100696	0.000192334298605385	0.999986929681082	-3.01502085877322
37892_at	-1.3963	8.2542275	-5.63619519824145	0.000289544240402459	0.999986929681082	-3.06607205267387
241404_at	-2.3008675	5.93197625	-5.62011790647749	0.000295673947093566	0.999986929681082	-3.06878926416472
225275_at	-1.294825	10.3541625	-5.53278205987533	0.000331518296875951	0.999986929681082	-3.08381202643606
204337_at	-1.20725	12.213975	-5.50502407438902	0.000343873116273878	0.999986929681082	-3.08868097465879
204529_s_at	-1.80483	5.1769075	-5.48978328785205	0.00035086739663412	0.999986929681082	-3.0913739634045
235587_at	0.613465	6.2266025	5.4803194870896	0.000355287722742711	0.999986929681082	-3.09305323507398
230660_at	-1.0828525	6.59433625	-5.44223865416446	0.000373691802488146	0.999986929681082	-3.09986540692249
206704_at	-0.654315	6.7133975	-5.37398127865908	0.000409306750993339	0.999986929681082	-3.11229960479053
201976_s_at	-0.702137499999999	10.14958125	-5.36379068905508	0.000414930960243137	0.999986929681082	-3.11418099092162
231361_at	-0.6658075	5.64523375	-5.35134225618764	0.000421914638479342	0.999986929681082	-3.11648813165453
205679_x_at	-1.617305	8.2924225	-5.237084590391	0.000492268925144594	0.999986929681082	-3.1381295901121
237939_at	-2.5014825	5.16379875	-5.23192081690924	0.000495733712495426	0.999986929681082	-3.1391277968318
1568618_a_at	-0.694700000000001	10.668525	-5.20692713298305	0.000512879324293991	0.999986929681082	-3.14398435786803
