gene	log2FC	p	padj	n
PDE5A	-0.956462185749934	1.77914617897232e-05	0.235505579710567	17
KDM5A	0.684520981576515	0.000418170723837533	0.872406092034194	17
CRABP1	-1.46468874177346	0.000445299191788836	0.872406092034194	17
RORB	-1.04343351468524	0.000787801157202163	0.872406092034194	17
DNAJB14	0.816405882188185	0.000793355136751165	0.872406092034194	17
RGS17	-0.65770838245439	0.000802225714426435	0.872406092034194	17
SAG	-1.51967272572105	0.000868145416816275	0.872406092034194	17
CLDN16	-0.920338903611084	0.000983884039402661	0.872406092034194	17
SYNC	0.576301998872202	0.0010266130326166	0.872406092034194	17
ACTG2	-1.12968110519635	0.00133876077052193	0.872406092034194	17
NR2E1	-0.823988791939131	0.00154064537929709	0.872406092034194	17
NUS1	-0.665885933897645	0.00174253005803503	0.872406092034194	17
EML4	-0.621716953952634	0.00178704729275321	0.872406092034194	17
PPP1R9A	0.381406853440022	0.00188787398087612	0.872406092034194	17
SCAI	1.46648516754435	0.0019364541987099	0.872406092034194	17
GRIK1	-0.838585377028856	0.00194799058759147	0.872406092034194	17
MROH9	-1.43060502694171	0.00214573125379985	0.872406092034194	17
SULT2B1	-0.856368789206924	0.00218111078169431	0.872406092034194	17
LOC101930405	-1.52599454873791	0.00230442888650305	0.872406092034194	17
SERINC3	0.492951878778184	0.00233131565941037	0.872406092034194	17
GLB1L	0.756120511146566	0.00247989475753006	0.872406092034194	17
WNT2	-1.19274097553201	0.00258431088620014	0.872406092034194	17
SCRN1	0.549308517691324	0.00261861295427493	0.872406092034194	17
SSPN	0.580184262204415	0.00264322983626725	0.872406092034194	17
PKN2	0.767546531931595	0.0027553748195874	0.872406092034194	17
USH2A	-1.43965302800961	0.00289807118139205	0.872406092034194	17
TST	0.653290081727413	0.00290799023697906	0.872406092034194	17
PIK3R1	0.514923653403185	0.00292038377969547	0.872406092034194	17
NR1D2	0.593219447260521	0.00293089816615407	0.872406092034194	17
TMBIM4	0.410629322659877	0.00307645232129983	0.872406092034194	17
ERAP1	1.17541251544322	0.00312966151779102	0.872406092034194	17
RNF126P1	-0.682990116252805	0.00321708037247112	0.872406092034194	17
SYTL2	-0.627345471520104	0.00322063889205792	0.872406092034194	17
HTATIP2	0.593533329166263	0.00328847329741159	0.872406092034194	17
MTA2	-0.744357347193912	0.00329288812355336	0.872406092034194	17
CCDC169-SOHLH2	1.15443615763126	0.00330844133668914	0.872406092034194	17
AASS	0.646197987786015	0.00332686275322742	0.872406092034194	17
SREBF1	-0.679448388511155	0.00334016627866613	0.872406092034194	17
MYH11	-1.39765470943093	0.00341216351657909	0.872406092034194	17
ACOX1	0.356945279613814	0.00344632918348399	0.872406092034194	17
RUFY2	-0.608157221186608	0.00361704682967056	0.872406092034194	17
MATN3	-2.43323234703138	0.00362867092769328	0.872406092034194	17
NEK1	0.519707817899346	0.00389664312765289	0.872406092034194	17
GNAQ	0.294262358077609	0.00391903679289578	0.872406092034194	17
IZUMO4	-1.01908164911231	0.0039310771643607	0.872406092034194	17
ACTA2	-0.81262739918664	0.00407423277298991	0.872406092034194	17
TMEM248	-0.316586027787118	0.00415984269585586	0.872406092034194	17
ATG2B	-0.551755514276101	0.00419970333555087	0.872406092034194	17
SAMD14	-0.873868577582016	0.00428286904312974	0.872406092034194	17
TMEM140	0.596193298796423	0.00432661013623988	0.872406092034194	17
LSM4	0.421408419774929	0.00445243418144042	0.872406092034194	17
SERHL	0.954249395757857	0.00446941202767515	0.872406092034194	17
PRKAR1AP	-1.0888302784806	0.00450583028241223	0.872406092034194	17
JAKMIP2	-0.571788301548206	0.00457744167798305	0.872406092034194	17
LINC00623	0.590135606512455	0.00460673193471039	0.872406092034194	17
CRLF2	-0.764958737813882	0.00464938100287959	0.872406092034194	17
AK4	0.613092690974046	0.00476386925008332	0.872406092034194	17
EBF2	0.76412995834102	0.00497514366590575	0.872406092034194	17
HKDC1	-1.25755884835915	0.00499039268608538	0.872406092034194	17
CUEDC1	1.11931582126698	0.00499086458598847	0.872406092034194	17
PON2	0.490877617845837	0.00499123045983474	0.872406092034194	17
MED17	-0.41311290553173	0.00553504215121555	0.872406092034194	17
GSTM2	0.500546416112261	0.0056028241096111	0.872406092034194	17
CNKSR2	-0.867496528748794	0.00576905475915519	0.872406092034194	17
SLC5A3	0.488585724235834	0.00577000460659753	0.872406092034194	17
PLN	-0.860604705773105	0.00579353887041237	0.872406092034194	17
UCHL1	0.510663149727281	0.00581442035192497	0.872406092034194	17
CNTN1	-0.486996542865659	0.0058579633730099	0.872406092034194	17
OSR2	-0.617407569331071	0.00594586637706391	0.872406092034194	17
FAM63A	0.519645226960845	0.00610648189301752	0.872406092034194	17
FCF1	0.593558378271703	0.00620719151656823	0.872406092034194	17
DBH	-0.766318871663428	0.00635371759304574	0.872406092034194	17
GRK4	0.583372299400755	0.00638083262018047	0.872406092034194	17
NAPG	-0.515409621534444	0.00648301160704696	0.872406092034194	17
MYBL2	-0.693265379179694	0.00655605885838616	0.872406092034194	17
INCENP	-0.956714502498157	0.00662621947225568	0.872406092034194	17
BEST1	-0.897272494219914	0.0066992551023598	0.872406092034194	17
SRSF1	-0.405187441607294	0.00680865747443466	0.872406092034194	17
RBM28	-0.373443824285037	0.0069261782808295	0.872406092034194	17
ME1	0.486107663747641	0.00728914817317129	0.872406092034194	17
FKTN	0.608681694174256	0.00746809809180424	0.872406092034194	17
RMND5B	0.419790612442474	0.00748886511741824	0.872406092034194	17
LOC102725271	1.22054373439391	0.00752155498516485	0.872406092034194	17
VWA7	-1.22698780608135	0.00755901328020286	0.872406092034194	17
MIR3658	-0.668296761398681	0.00756081684766088	0.872406092034194	17
LTBP1	-0.560566928372266	0.00764580754437924	0.872406092034194	17
RING1	-0.324111838912455	0.00769234577193295	0.872406092034194	17
ICAM5	-1.15657114500257	0.00780300870282822	0.872406092034194	17
TNFRSF8	-0.507085218803992	0.00808619726444663	0.872406092034194	17
CHRDL1	0.385788572275174	0.00823952390528493	0.872406092034194	17
LOC101926913	-1.47355483322801	0.00824707079896339	0.872406092034194	17
INE1	-0.994726371595404	0.00837044443580802	0.872406092034194	17
